Age,Monthly_Salary,Years_at_Company,Work_Life_Balance,Job_Involvement,Overtime,Hours_Worked_Per_Week,Distance_from_Home,Attrition
56,188513,0,3,2,1,60,46,1
46,20337,0,2,3,0,31,15,0
32,150996,6,1,2,0,75,44,1
60,166164,2,4,2,0,73,8,1
25,76052,35,1,2,1,73,13,1
38,21471,38,1,3,0,40,14,0
56,71194,30,4,4,1,45,21,0
36,195460,24,1,4,0,54,57,0
40,139076,23,4,3,0,67,12,0
28,93392,0,3,4,1,51,46,1
28,81088,37,3,3,0,32,16,0
41,119909,30,4,3,1,35,59,0
53,25664,36,4,4,0,69,41,0
57,108859,10,1,1,0,41,46,1
41,111991,2,4,4,0,54,16,0
20,139805,11,3,4,0,68,42,0
39,156451,19,3,2,0,44,5,0
19,51536,29,4,3,1,70,10,0
41,156063,9,1,4,0,73,59,1
61,114754,38,4,3,0,55,42,0
47,136134,14,3,3,0,42,17,0
55,116649,20,2,2,0,59,54,1
19,121610,17,1,3,0,69,49,1
38,113513,31,3,3,0,74,18,0
50,48359,18,3,1,1,37,45,1
29,137060,29,4,2,0,43,3,0
39,134209,32,4,3,0,34,36,0
61,38043,21,3,2,1,70,12,1
42,108059,28,2,3,1,72,12,1
44,29070,23,4,1,0,62,20,0
59,165205,3,3,1,0,66,44,1
45,76955,11,1,3,1,44,40,1
33,48571,35,4,4,0,62,13,0
32,178063,3,4,2,0,38,37,0
64,97115,4,4,3,0,37,21,0
61,118891,18,2,3,1,43,24,0
20,150644,38,3,2,0,57,41,0
54,41871,30,3,4,0,61,8,0
24,157295,6,4,3,0,50,5,0
38,34197,11,4,2,0,52,44,0
26,94923,9,1,2,0,74,52,1
56,122657,28,4,3,0,52,12,0
35,112438,20,4,4,1,50,48,0
21,120909,12,3,3,1,75,53,1
42,120842,22,4,2,1,65,14,1
31,99432,5,3,2,0,33,44,0
26,61525,30,4,4,0,73,6,0
43,36198,8,3,3,1,45,41,0
19,185596,23,4,4,1,55,27,0
37,114187,15,2,3,1,64,18,1
45,118172,10,4,3,0,50,34,0
64,119499,35,3,2,0,39,42,0
24,169587,0,4,4,0,78,6,0
61,126313,20,3,1,0,31,59,0
25,42027,35,3,4,0,72,31,0
64,33792,36,3,3,0,42,55,0
52,101313,5,3,3,0,64,55,0
31,105330,13,3,2,0,53,55,0
34,52544,28,3,2,0,57,14,0
53,105263,0,2,3,0,67,20,1
57,133329,7,4,4,0,63,23,0
21,174737,18,1,2,0,49,22,0
19,51126,22,4,4,0,71,4,0
23,170553,38,4,1,0,67,14,0
59,119637,10,3,2,0,60,29,0
21,147208,26,3,1,1,44,11,0
46,43549,39,2,2,0,68,21,1
35,56155,35,2,3,0,52,43,0
43,57481,19,3,3,0,33,41,0
61,87967,7,2,3,0,44,9,0
51,119320,35,3,3,0,72,23,0
27,102561,25,4,2,0,60,43,0
53,40446,34,4,2,0,45,1,0
31,28507,2,2,3,0,31,25,0
48,145183,3,4,3,0,47,53,0
32,53208,28,2,4,1,31,23,0
25,37522,27,4,3,0,79,55,0
31,67402,18,3,3,1,79,43,1
40,176562,27,3,2,0,31,49,0
57,189083,17,3,2,0,62,36,1
38,186143,13,2,2,0,61,40,1
33,198826,13,3,2,0,37,16,0
62,65102,28,3,3,0,41,49,0
35,34040,2,3,2,0,53,26,0
64,124254,33,3,2,0,79,35,1
41,158118,8,4,3,1,72,54,1
43,190446,39,2,4,1,48,38,1
42,56189,4,2,4,1,37,55,1
62,131738,28,4,4,0,58,52,0
58,103998,4,3,1,0,71,35,1
46,106070,12,4,3,0,51,50,0
32,186040,25,4,2,1,33,1,0
62,172007,8,3,4,0,43,1,0
18,75581,3,3,1,0,39,10,0
42,126531,38,4,4,0,51,30,0
24,29009,30,4,3,0,75,1,0
26,198061,4,2,1,1,74,5,1
41,197948,6,3,4,0,69,29,0
18,187796,27,4,4,1,44,13,0
61,130847,39,1,3,0,38,15,0
25,71377,13,3,2,0,35,32,0
41,88861,23,3,3,0,67,12,0
28,159771,37,3,1,0,72,41,1
